loss,auc_judd,auc_PR,nss,information_gain,similarity,similarity_opposite,cosine_similarity,correlation_coefficient,kl_divergence,mae,mse,val_loss,val_auc_judd,val_auc_PR,val_nss,val_information_gain,val_similarity,val_similarity_opposite,val_cosine_similarity,val_correlation_coefficient,val_kl_divergence,val_mae,val_mse,lr
-1.7448976039886475,0.6972752213478088,0.7518378496170044,0.5748950839042664,0.06957338750362396,0.4091501832008362,0.9239088892936707,0.51385498046875,0.40254494547843933,0.06487743556499481,0.49027469754219055,0.25747373700141907,-2.3764548301696777,0.79514080286026,0.828208863735199,0.7218531966209412,0.09760022908449173,0.4138285517692566,0.9402280449867249,0.5273280143737793,0.5431129932403564,0.06334906071424484,0.4829435646533966,0.246023491024971,0.001
-2.4912259578704834,0.7914637327194214,0.8298094868659973,0.7381690144538879,0.10065300017595291,0.41737475991249084,0.9452991485595703,0.530336320400238,0.564498245716095,0.06288366764783859,0.4647216498851776,0.22820180654525757,-2.6037373542785645,0.8061383962631226,0.8451794981956482,0.7539435625076294,0.1250056028366089,0.42087751626968384,0.9414013624191284,0.5426124334335327,0.5885380506515503,0.06170595437288284,0.4616258144378662,0.2252814769744873,0.001
-2.6254329681396484,0.7959903478622437,0.8346356153488159,0.7610411643981934,0.1160091906785965,0.42183732986450195,0.9424299597740173,0.538414716720581,0.5923458337783813,0.06195053085684776,0.4519749581813812,0.21654577553272247,-2.6550726890563965,0.8176344633102417,0.8533831238746643,0.7655239105224609,0.0990440845489502,0.41342684626579285,0.9574805498123169,0.5293472409248352,0.597762942314148,0.0632619708776474,0.43046748638153076,0.19593234360218048,0.001
-2.732729196548462,0.7960591316223145,0.839989423751831,0.7770822048187256,0.1210172176361084,0.4226013123989105,0.9506450891494751,0.5412135124206543,0.6115838885307312,0.06167818605899811,0.42816540598869324,0.19455690681934357,-2.7367141246795654,0.7985144853591919,0.8432552814483643,0.7694849371910095,0.11203580349683762,0.415901243686676,0.9606364965438843,0.5366258025169373,0.607582688331604,0.06248275563120842,0.39092472195625305,0.16255676746368408,0.001
-2.8028643131256104,0.7743088006973267,0.8329533934593201,0.7800798416137695,0.16978125274181366,0.43604427576065063,0.9404527544975281,0.5665557980537415,0.6165583729743958,0.058898210525512695,0.3862987160682678,0.16218224167823792,-2.7789480686187744,0.8075947761535645,0.8428568840026855,0.7669732570648193,0.15939660370349884,0.4291718602180481,0.9596869349479675,0.561223030090332,0.5991329550743103,0.059645287692546844,0.300603449344635,0.09813149273395538,0.001
-2.9112610816955566,0.7598236799240112,0.8278423547744751,0.7857125401496887,0.26977038383483887,0.46766209602355957,0.9386231303215027,0.6200140118598938,0.6226781010627747,0.05285319685935974,0.2813722491264343,0.09363896399736404,-2.8749895095825195,0.8143357038497925,0.8488296270370483,0.7745054960250854,0.40800780057907104,0.5057058334350586,0.9104545712471008,0.6866132020950317,0.6095219850540161,0.04479087144136429,0.23203672468662262,0.07887877523899078,0.001
-2.989877223968506,0.7750959396362305,0.8362489938735962,0.7864415049552917,0.48690152168273926,0.5481147170066833,0.9341673851013184,0.7174344658851624,0.623257040977478,0.04038334637880325,0.1334553211927414,0.03807846084237099,-2.996006488800049,0.8131476640701294,0.8543167114257812,0.7851601243019104,0.5304261445999146,0.5635404586791992,0.96274733543396,0.7305359244346619,0.6201935410499573,0.038158804178237915,0.0674276202917099,0.013998620212078094,0.001
-3.1117665767669678,0.823909342288971,0.8655933141708374,0.7997961640357971,0.5717941522598267,0.579656720161438,0.9541357755661011,0.7472434043884277,0.6454876661300659,0.035466112196445465,0.07864756882190704,0.018495436757802963,-3.01365327835083,0.8333284258842468,0.8634032011032104,0.7867752313613892,0.5684348344802856,0.5659287571907043,0.9584481120109558,0.7342968583106995,0.6250063180923462,0.035691458731889725,0.07568398118019104,0.01569146290421486,0.001
-3.1271276473999023,0.813308596611023,0.8568785190582275,0.8014690279960632,0.5318152904510498,0.5818957686424255,0.9566515684127808,0.74832683801651,0.6488679647445679,0.03781154751777649,0.07188540697097778,0.017518429085612297,-2.9684789180755615,0.8205133676528931,0.8548948168754578,0.784112811088562,0.5109909772872925,0.5641979575157166,0.923221230506897,0.7285323739051819,0.6196523904800415,0.03931059688329697,0.1169460192322731,0.03832320123910904,0.001
-3.1390318870544434,0.8227827548980713,0.8651129007339478,0.8020427823066711,0.5186079144477844,0.5873947143554688,0.9562211632728577,0.7501825094223022,0.650252103805542,0.038627125322818756,0.07177130877971649,0.01710660383105278,-3.0303850173950195,0.8179765343666077,0.8603652119636536,0.7916588187217712,0.5487400889396667,0.5687544345855713,0.9628626108169556,0.7322617173194885,0.6282574534416199,0.03702984377741814,0.0628824234008789,0.014137355610728264,0.001
-3.251248359680176,0.8210634589195251,0.8658891916275024,0.8178555965423584,0.6018575429916382,0.5919560194015503,0.9629263281822205,0.768075704574585,0.6764497756958008,0.03358490392565727,0.06140442565083504,0.013663342222571373,-3.0068159103393555,0.7844061851501465,0.8422244787216187,0.7899879217147827,0.3851776719093323,0.5546859502792358,0.958364725112915,0.7266799211502075,0.6265462636947632,0.04715835303068161,0.06251738220453262,0.01634696125984192,0.001
-3.2424869537353516,0.8125046491622925,0.8585795760154724,0.8177248239517212,0.593298614025116,0.5943642854690552,0.9592240452766418,0.7664602994918823,0.6745160222053528,0.0339173786342144,0.06744538992643356,0.015374189242720604,-3.0063440799713135,0.8032104969024658,0.8518024682998657,0.788544774055481,0.4290323555469513,0.5617352724075317,0.961458683013916,0.7271720170974731,0.6241520643234253,0.04444677382707596,0.06191198155283928,0.014658557251095772,0.001
