loss,auc_judd,auc_PR,nss,information_gain,similarity,similarity_opposite,cosine_similarity,correlation_coefficient,kl_divergence,mae,mse,val_loss,val_auc_judd,val_auc_PR,val_nss,val_information_gain,val_similarity,val_similarity_opposite,val_cosine_similarity,val_correlation_coefficient,val_kl_divergence,val_mae,val_mse,lr
0.06611555814743042,0.5526057481765747,0.623471200466156,0.3226754665374756,0.047956474125385284,0.4021300971508026,0.7000657916069031,0.5026998519897461,0.20922361314296722,0.06611555814743042,0.6523417234420776,0.47491565346717834,0.05735279992222786,0.7252712249755859,0.7562978863716125,0.5790014266967773,0.1979507952928543,0.44052818417549133,0.5455018281936646,0.5700889825820923,0.3929152190685272,0.05735279992222786,0.6516354084014893,0.4891117215156555,0.001
0.05901564657688141,0.6633462905883789,0.7204827070236206,0.5081446766853333,0.1670990139245987,0.4371446669101715,0.6282148361206055,0.5591878294944763,0.33530500531196594,0.05901564657688141,0.5436496734619141,0.3891741633415222,0.049176886677742004,0.7189877033233643,0.7710062265396118,0.656209409236908,0.3364914357662201,0.47552505135536194,0.8762799501419067,0.6359896659851074,0.4663226902484894,0.049176886677742004,0.22678199410438538,0.0937906950712204,0.001
0.04664827883243561,0.7537060379981995,0.7793940901756287,0.6708011627197266,0.3754522502422333,0.4977176785469055,0.7697247862815857,0.6432251334190369,0.48266831040382385,0.04664827883243561,0.3345640301704407,0.20563527941703796,0.0425364188849926,0.8162119388580322,0.8418932557106018,0.6975793838500977,0.44888031482696533,0.5135656595230103,0.6907772421836853,0.6599923968315125,0.5029768943786621,0.0425364188849926,0.4027196168899536,0.27432405948638916,0.001
0.040942173451185226,0.7911053895950317,0.8210145235061646,0.7230663895606995,0.46888017654418945,0.5246467590332031,0.8943350911140442,0.6813900470733643,0.5409906506538391,0.040942173451185226,0.17495161294937134,0.07176554948091507,0.03789343684911728,0.8195525407791138,0.8461431264877319,0.7456783056259155,0.5270898938179016,0.5354805588722229,0.8833949565887451,0.7064420580863953,0.5743446350097656,0.03789343684911728,0.18218328058719635,0.07707042247056961,0.001
0.03722664713859558,0.8144224882125854,0.8415995836257935,0.7492632269859314,0.5316739082336426,0.542165219783783,0.8855674266815186,0.7039425373077393,0.5757247805595398,0.03722664713859558,0.17793601751327515,0.07799100130796432,0.036788493394851685,0.8236513137817383,0.8503179550170898,0.7590439319610596,0.547078013420105,0.5399489402770996,0.937431812286377,0.7147702574729919,0.589863657951355,0.036788493394851685,0.10645805299282074,0.030032997950911522,0.001
0.03581647947430611,0.8174159526824951,0.8448324203491211,0.7681273221969604,0.5596056580543518,0.5510143637657166,0.9167053699493408,0.7184047698974609,0.599201500415802,0.03581647947430611,0.13405975699424744,0.049398187547922134,0.03641927242279053,0.8309580087661743,0.8572964668273926,0.7641992568969727,0.5524548292160034,0.5467345118522644,0.8758409023284912,0.7147335410118103,0.5937225818634033,0.03641927242279053,0.1997695118188858,0.08538186550140381,0.001
0.035335004329681396,0.820217490196228,0.8521250486373901,0.7730051279067993,0.568962574005127,0.554356038570404,0.9227312207221985,0.7219157218933105,0.6054561138153076,0.035335004329681396,0.13104701042175293,0.044507112354040146,0.03579964488744736,0.8368796706199646,0.8614963293075562,0.7645268440246582,0.5615978240966797,0.5505521297454834,0.8473160266876221,0.7150692939758301,0.5928281545639038,0.03579964488744736,0.23031380772590637,0.11333197355270386,0.001
0.03486396372318268,0.8164739012718201,0.8490961790084839,0.7751970887184143,0.5717185735702515,0.5570485591888428,0.92099529504776,0.7250045537948608,0.6105712652206421,0.03486396372318268,0.128840371966362,0.04639848321676254,0.036200545728206635,0.8332006931304932,0.8611010313034058,0.7700427174568176,0.5588814616203308,0.5591886043548584,0.8583406209945679,0.7212401032447815,0.601763129234314,0.036200545728206635,0.20490200817584991,0.10027946531772614,0.001
0.0341511070728302,0.8281958103179932,0.8552589416503906,0.7810044884681702,0.5886005163192749,0.5637442469596863,0.9354350566864014,0.7313777208328247,0.6186596155166626,0.0341511070728302,0.10660523921251297,0.034004878252744675,0.034991554915905,0.8392815589904785,0.8648042678833008,0.7769566774368286,0.5748190879821777,0.5541709661483765,0.9070354700088501,0.7245492935180664,0.6100319623947144,0.034991554915905,0.15793605148792267,0.05454932525753975,0.001
0.033416908234357834,0.8286905288696289,0.858769416809082,0.7862361073493958,0.5968943238258362,0.5675196647644043,0.933273434638977,0.7357019782066345,0.6262869238853455,0.033416908234357834,0.11346514523029327,0.03465842828154564,0.03415979444980621,0.8347367644309998,0.8634012937545776,0.7811980247497559,0.5899920463562012,0.5536231398582458,0.9514665603637695,0.7338761687278748,0.6207630038261414,0.03415979444980621,0.08730051666498184,0.021421752870082855,0.001
0.03268684446811676,0.8379665017127991,0.8682961463928223,0.7963200807571411,0.6123623847961426,0.5730910301208496,0.9326714873313904,0.7439557313919067,0.6396465301513672,0.03268684446811676,0.11104535311460495,0.03431520611047745,0.033722467720508575,0.8410018086433411,0.8672982454299927,0.7858098149299622,0.5980876088142395,0.566870927810669,0.9257687330245972,0.7351590394973755,0.6240357160568237,0.033722467720508575,0.11953902989625931,0.03860192373394966,0.001
0.03152940794825554,0.843815803527832,0.873986542224884,0.8038459420204163,0.633830726146698,0.5793665051460266,0.9501026272773743,0.7522244453430176,0.6510839462280273,0.03152940794825554,0.08773165941238403,0.021318692713975906,0.03467465564608574,0.8349201679229736,0.8624440431594849,0.7821820378303528,0.5843430161476135,0.563911497592926,0.9492571949958801,0.7320355176925659,0.621938169002533,0.03467465564608574,0.08599796146154404,0.02263021282851696,0.001
