loss,auc_judd,auc_PR,nss,similarity,similarity_opposite,cosine_similarity,correlation_coefficient,kl_divergence,mae,mse,val_loss,val_auc_judd,val_auc_PR,val_nss,val_similarity,val_similarity_opposite,val_cosine_similarity,val_correlation_coefficient,val_kl_divergence,val_mae,val_mse,lr
-2.6678733825683594,0.617965817451477,0.6874933242797852,0.46082940697669983,0.4075639247894287,0.8619226813316345,0.5126379728317261,0.3179781436920166,0.06501451134681702,0.5643600225448608,0.34769129753112793,-2.96535325050354,0.7861573100090027,0.8123314380645752,0.7055047750473022,0.4298025071620941,0.8369290828704834,0.5538550615310669,0.5204347372055054,0.06009412556886673,0.5824430584907532,0.36105260252952576,0.001
-3.0145554542541504,0.759297251701355,0.811081051826477,0.7090810537338257,0.43776190280914307,0.8376702666282654,0.5640794038772583,0.5199799537658691,0.05882777273654938,0.545169472694397,0.32254666090011597,-3.096848487854004,0.7372983694076538,0.8075720071792603,0.7148569226264954,0.4513850212097168,0.7948284149169922,0.5943110585212708,0.5366711616516113,0.05564078316092491,0.5289228558540344,0.31412366032600403,0.001
-3.3624460697174072,0.7156618237495422,0.7751227617263794,0.7031518220901489,0.5029705762863159,0.8403545022010803,0.645186185836792,0.5130186676979065,0.055912770330905914,0.28881198167800903,0.15325051546096802,-3.5475809574127197,0.7833308577537537,0.8300400376319885,0.7312662601470947,0.5225951671600342,0.9212659597396851,0.6789796352386475,0.5556997656822205,0.054167307913303375,0.11429864168167114,0.04279191792011261,0.001
-3.616506576538086,0.7875850200653076,0.8320325016975403,0.7361813187599182,0.5373985767364502,0.8931149840354919,0.6859264969825745,0.5537378191947937,0.04594447463750839,0.17045088112354279,0.06934020668268204,-3.7763633728027344,0.8047935962677002,0.8483101725578308,0.7632946372032166,0.5575404167175293,0.9450616836547852,0.7134290933609009,0.5951218008995056,0.046834662556648254,0.08921791613101959,0.02305414155125618,0.001
-3.777189254760742,0.8063907623291016,0.8462607860565186,0.7655883431434631,0.5614370107650757,0.9121091365814209,0.7109391689300537,0.5913586616516113,0.04417778179049492,0.13606373965740204,0.048970188945531845,-3.7979671955108643,0.8271112442016602,0.8585530519485474,0.7693862915039062,0.5587511658668518,0.9264218807220459,0.7183245420455933,0.5997813940048218,0.038385141640901566,0.12448982149362564,0.03663983941078186,0.001
-3.8298604488372803,0.8193625211715698,0.859505832195282,0.7696196436882019,0.5698601007461548,0.917447566986084,0.7168107628822327,0.598207414150238,0.04137063026428223,0.1275000125169754,0.04370741546154022,-3.8698816299438477,0.8245463967323303,0.8628225326538086,0.783616840839386,0.5707099437713623,0.9291296005249023,0.7314227223396301,0.6205174326896667,0.040710411965847015,0.11155819147825241,0.03248021751642227,0.001
-3.908564805984497,0.8252518177032471,0.865349292755127,0.7850505709648132,0.5801525712013245,0.9259034991264343,0.7314171195030212,0.6209375858306885,0.039821844547986984,0.11433809995651245,0.03611977770924568,-3.876633405685425,0.83205246925354,0.8664156794548035,0.7871526479721069,0.5718624591827393,0.8999518752098083,0.7376270890235901,0.6287009716033936,0.038128819316625595,0.1470302939414978,0.057586513459682465,0.001
-3.9095535278320312,0.8242368698120117,0.8653901219367981,0.7864705324172974,0.5795658826828003,0.9264951944351196,0.7315205931663513,0.6218265891075134,0.03894215077161789,0.11729935556650162,0.03714786469936371,-3.8485865592956543,0.806702196598053,0.8545839786529541,0.7867024540901184,0.5706280469894409,0.9174875020980835,0.7286461591720581,0.625548243522644,0.04891199618577957,0.11632522940635681,0.043289341032505035,0.001
-3.9190139770507812,0.816680371761322,0.8612735271453857,0.7877583503723145,0.5829047560691833,0.9220279455184937,0.7321853637695312,0.6250579357147217,0.04123362898826599,0.11692298203706741,0.04104329273104668,-3.901411294937134,0.8316388130187988,0.8674418926239014,0.7857659459114075,0.5758168697357178,0.9331849217414856,0.7328064441680908,0.6226015090942383,0.038166437298059464,0.10767317563295364,0.03026922605931759,0.001
-3.9692306518554688,0.8289649486541748,0.8702878355979919,0.7953919172286987,0.5892744064331055,0.9263813495635986,0.7410540580749512,0.6356419920921326,0.03810569643974304,0.11362411826848984,0.036079224199056625,-3.910362482070923,0.8378082513809204,0.8724808692932129,0.7934591174125671,0.5750990509986877,0.9176605939865112,0.7398999333381653,0.6345184445381165,0.03596341609954834,0.12657706439495087,0.04443899542093277,0.001
-4.017242908477783,0.8302386999130249,0.8721388578414917,0.8045700192451477,0.5957059264183044,0.9298912286758423,0.7497346997261047,0.6495379209518433,0.03690597414970398,0.10928891599178314,0.03450543060898781,-3.9379847049713135,0.8321954011917114,0.8675271272659302,0.7944716215133667,0.5803792476654053,0.9379137754440308,0.7382586002349854,0.6338847875595093,0.03704002499580383,0.09912402927875519,0.028339359909296036,0.001
-4.040145397186279,0.8288426399230957,0.8720125555992126,0.8092197775840759,0.5993338227272034,0.9326015114784241,0.7527957558631897,0.6554000973701477,0.03707290440797806,0.1045667752623558,0.032983262091875076,-3.9090688228607178,0.8396174311637878,0.8734748959541321,0.7974412441253662,0.5738105773925781,0.909581184387207,0.7437096834182739,0.6396254301071167,0.035903580486774445,0.14250965416431427,0.050022367388010025,0.001
