loss,auc_judd,auc_PR,nss,similarity,similarity_opposite,cosine_similarity,correlation_coefficient,kl_divergence,mae,mse,val_loss,val_auc_judd,val_auc_PR,val_nss,val_similarity,val_similarity_opposite,val_cosine_similarity,val_correlation_coefficient,val_kl_divergence,val_mae,val_mse,lr
-2.6895344257354736,0.6116778254508972,0.6965298056602478,0.4639555811882019,0.41188186407089233,0.8544024229049683,0.5194640755653381,0.31447896361351013,0.06403078138828278,0.5528808236122131,0.33395838737487793,-2.9729371070861816,0.777886688709259,0.80586838722229,0.6962758898735046,0.42966029047966003,0.8584853410720825,0.5552478432655334,0.5166005492210388,0.06000377982854843,0.5446576476097107,0.3178884983062744,0.001
-3.019350051879883,0.7524562478065491,0.8070122003555298,0.7052550315856934,0.44076669216156006,0.8192399144172668,0.5684190988540649,0.5151776075363159,0.058252692222595215,0.54859459400177,0.3292996287345886,-3.0974555015563965,0.7492074966430664,0.809914231300354,0.7138213515281677,0.4490477442741394,0.8267656564712524,0.5908976793289185,0.5340451002120972,0.05609304830431938,0.5022305250167847,0.28292807936668396,0.001
-3.422802209854126,0.7248619198799133,0.7843585014343262,0.7188292145729065,0.5084187388420105,0.8553788661956787,0.655600905418396,0.5310125946998596,0.05206505209207535,0.2690442204475403,0.13484422862529755,-3.61397123336792,0.810009241104126,0.841037929058075,0.7335208654403687,0.5378303527832031,0.855867862701416,0.6918542981147766,0.5534751415252686,0.04136626794934273,0.21156062185764313,0.09919732809066772,0.001
-3.6720223426818848,0.7956842184066772,0.8378530740737915,0.7446229457855225,0.5460497140884399,0.9073955416679382,0.6925221085548401,0.5635361671447754,0.04605552926659584,0.14192375540733337,0.05262812599539757,-3.785349130630493,0.8211669921875,0.8547149896621704,0.7631750702857971,0.5568535327911377,0.929680585861206,0.7170105576515198,0.5952968001365662,0.03922618553042412,0.11888331919908524,0.03350680693984032,0.001
-3.7781407833099365,0.8090116381645203,0.8483309745788574,0.7614731192588806,0.5612190961837769,0.9153805375099182,0.7102328538894653,0.5880011916160583,0.042675625532865524,0.1322653889656067,0.04639328271150589,-3.815321207046509,0.8273501396179199,0.8560898900032043,0.7683321237564087,0.5605304837226868,0.9442646503448486,0.7182345390319824,0.5995787978172302,0.037831664085388184,0.09861782938241959,0.022589124739170074,0.001
-3.827956199645996,0.8157705664634705,0.8525437116622925,0.7712383270263672,0.5671305656433105,0.9231953620910645,0.7177765369415283,0.6005215644836426,0.039939552545547485,0.12136002629995346,0.03996416926383972,-3.8890748023986816,0.8219410181045532,0.8603531122207642,0.7779920101165771,0.5723512172698975,0.9618286490440369,0.726668655872345,0.613929808139801,0.038281526416540146,0.0684032142162323,0.014498187229037285,0.001
-3.8620502948760986,0.8210926055908203,0.8602616190910339,0.7777447700500488,0.5738195776939392,0.9240348935127258,0.72211092710495,0.6085086464881897,0.04173155874013901,0.11778607964515686,0.039697982370853424,-3.8442702293395996,0.8183282017707825,0.8561865091323853,0.7747050523757935,0.5695574283599854,0.923007071018219,0.7230542302131653,0.6078214049339294,0.041894059628248215,0.11826060712337494,0.03790437430143356,0.001
-3.903482437133789,0.8175029754638672,0.8581498861312866,0.7832988500595093,0.5789318680763245,0.9294229745864868,0.7294339537620544,0.6178820133209229,0.03952175751328468,0.11279381811618805,0.03559121862053871,-3.8982276916503906,0.81560218334198,0.8602280616760254,0.7881968021392822,0.5774425268173218,0.9359142780303955,0.7312946915626526,0.6287122368812561,0.0451526865363121,0.09632224589586258,0.029469775035977364,0.001
-3.900163173675537,0.8100013732910156,0.8517135381698608,0.7873510122299194,0.5774641036987305,0.9197824597358704,0.7308348417282104,0.6231008172035217,0.038556843996047974,0.13254112005233765,0.04770181328058243,-3.889470100402832,0.832007110118866,0.8640612959861755,0.7837849855422974,0.568030595779419,0.9632303714752197,0.7324842810630798,0.621159017086029,0.03590203821659088,0.06894905865192413,0.01327985804527998,0.001
-3.9468994140625,0.8201072812080383,0.8638283014297485,0.7948479652404785,0.5839717388153076,0.9346047639846802,0.7381023168563843,0.6337910890579224,0.039316948503255844,0.10315337777137756,0.03193031996488571,-3.838930606842041,0.8216233253479004,0.8587887287139893,0.7741222381591797,0.5665093064308167,0.9420069456100464,0.7164487242698669,0.6091914772987366,0.04073714464902878,0.09175992757081985,0.029026413336396217,0.001
-4.030014991760254,0.8346043825149536,0.8769105672836304,0.8050037026405334,0.5964205861091614,0.9387222528457642,0.7515665888786316,0.6515499353408813,0.0362570583820343,0.09714231640100479,0.027547286823391914,-3.9641690254211426,0.830620527267456,0.869806170463562,0.7963173985481262,0.5853590965270996,0.9397714138031006,0.7417081594467163,0.6386539936065674,0.03814820945262909,0.09582048654556274,0.025549696758389473,0.0005
-4.051976680755615,0.8344022631645203,0.8766081929206848,0.8108373880386353,0.5993819236755371,0.9388101100921631,0.7553862929344177,0.6581299304962158,0.035630274564027786,0.09737387299537659,0.027835164219141006,-3.951521396636963,0.8385651111602783,0.8724786043167114,0.7964032888412476,0.5839040875434875,0.9130487442016602,0.7437847852706909,0.6401271820068359,0.036422595381736755,0.1308917999267578,0.04730002582073212,0.0005
